utilization_gpu,memory_used,memory_total,power_draw,cpu_usage,time,acc,flops,
7 %, 23633 MiB, 24576 MiB,60.43 W,37.0,136.66,
7 %, 23633 MiB, 24576 MiB,60.10 W,42.4,137.75,
7 %, 23633 MiB, 24576 MiB,61.83 W,40.3,138.83,
7 %, 23633 MiB, 24576 MiB,61.40 W,25.1,139.92,
6 %, 23633 MiB, 24576 MiB,61.31 W,35.9,141.01,
7 %, 23633 MiB, 24576 MiB,60.47 W,33.9,142.09,
7 %, 23633 MiB, 24576 MiB,60.51 W,24.1,143.17,
7 %, 23633 MiB, 24576 MiB,61.37 W,37.2,144.25,
7 %, 23633 MiB, 24576 MiB,61.74 W,31.1,145.34,
7 %, 23633 MiB, 24576 MiB,60.93 W,22.8,146.42,
7 %, 23633 MiB, 24576 MiB,60.58 W,42.5,147.5,
7 %, 23633 MiB, 24576 MiB,60.48 W,41.0,148.58,
6 %, 23633 MiB, 24576 MiB,61.90 W,30.0,149.67,
7 %, 23633 MiB, 24576 MiB,61.79 W,31.0,150.76,
7 %, 23633 MiB, 24576 MiB,61.17 W,29.1,151.84,
6 %, 23633 MiB, 24576 MiB,60.62 W,37.0,152.93,
7 %, 23633 MiB, 24576 MiB,60.72 W,28.3,154.01,
7 %, 23633 MiB, 24576 MiB,62.07 W,23.7,155.09,
6 %, 23633 MiB, 24576 MiB,61.74 W,37.5,156.19,
7 %, 23633 MiB, 24576 MiB,61.90 W,35.9,157.27,
7 %, 23633 MiB, 24576 MiB,61.52 W,36.8,158.35,
7 %, 23633 MiB, 24576 MiB,60.86 W,39.3,159.43,
6 %, 23633 MiB, 24576 MiB,60.74 W,34.2,160.52,
7 %, 23633 MiB, 24576 MiB,59.90 W,33.2,161.62,
6 %, 23633 MiB, 24576 MiB,62.08 W,34.2,162.71,
6 %, 23633 MiB, 24576 MiB,61.18 W,33.2,163.79,
6 %, 23633 MiB, 24576 MiB,60.61 W,38.1,164.87,
6 %, 23633 MiB, 24576 MiB,60.44 W,44.1,165.95,
6 %, 23633 MiB, 24576 MiB,60.34 W,28.4,167.04,
7 %, 23633 MiB, 24576 MiB,62.14 W,23.7,168.12,
7 %, 23633 MiB, 24576 MiB,61.48 W,35.6,169.2,
7 %, 23633 MiB, 24576 MiB,60.77 W,35.3,170.28,
6 %, 23633 MiB, 24576 MiB,60.46 W,33.0,171.37,
6 %, 23633 MiB, 24576 MiB,61.83 W,36.5,172.45,
7 %, 23633 MiB, 24576 MiB,62.31 W,34.9,173.55,
6 %, 23633 MiB, 24576 MiB,62.13 W,41.7,174.63,
7 %, 23633 MiB, 24576 MiB,61.92 W,31.0,175.72,
7 %, 23633 MiB, 24576 MiB,61.39 W,34.1,176.81,
6 %, 23633 MiB, 24576 MiB,61.05 W,35.1,177.89,
6 %, 23633 MiB, 24576 MiB,60.95 W,25.9,178.97,
7 %, 23633 MiB, 24576 MiB,62.24 W,33.7,180.06,
6 %, 23633 MiB, 24576 MiB,61.99 W,34.9,181.15,
7 %, 23633 MiB, 24576 MiB,61.55 W,36.2,182.23,
7 %, 23633 MiB, 24576 MiB,61.21 W,43.4,183.31,
7 %, 23633 MiB, 24576 MiB,61.21 W,35.8,184.42,
6 %, 23633 MiB, 24576 MiB,61.14 W,34.5,185.5,
7 %, 23633 MiB, 24576 MiB,62.31 W,35.5,186.58,
7 %, 23633 MiB, 24576 MiB,61.56 W,22.9,187.66,
7 %, 23633 MiB, 24576 MiB,61.12 W,34.5,188.75,
6 %, 23633 MiB, 24576 MiB,60.59 W,29.8,189.83,
7 %, 23633 MiB, 24576 MiB,62.61 W,25.6,190.91,
7 %, 23633 MiB, 24576 MiB,62.62 W,42.8,191.99,
6 %, 23633 MiB, 24576 MiB,62.41 W,40.4,193.07,
7 %, 23633 MiB, 24576 MiB,61.80 W,31.5,194.15,
7 %, 23633 MiB, 24576 MiB,62.39 W,38.4,195.23,
6 %, 23633 MiB, 24576 MiB,61.96 W,31.8,196.32,
7 %, 23633 MiB, 24576 MiB,62.39 W,33.5,197.4,
6 %, 23633 MiB, 24576 MiB,62.01 W,38.9,198.49,
7 %, 23633 MiB, 24576 MiB,61.36 W,33.6,199.57,
7 %, 23633 MiB, 24576 MiB,61.35 W,36.3,200.68,
6 %, 23633 MiB, 24576 MiB,61.40 W,39.4,201.76,
6 %, 23633 MiB, 24576 MiB,62.88 W,22.7,202.84,
7 %, 23633 MiB, 24576 MiB,62.35 W,36.2,203.93,
6 %, 23633 MiB, 24576 MiB,61.36 W,37.6,205.02,
6 %, 23633 MiB, 24576 MiB,61.12 W,24.6,206.1,
6 %, 23633 MiB, 24576 MiB,61.09 W,25.8,207.18,
6 %, 23633 MiB, 24576 MiB,62.59 W,35.6,208.27,
6 %, 23633 MiB, 24576 MiB,62.46 W,35.5,209.36,
7 %, 23633 MiB, 24576 MiB,62.64 W,22.0,210.45,
6 %, 23633 MiB, 24576 MiB,61.65 W,33.9,211.54,
6 %, 23633 MiB, 24576 MiB,61.25 W,39.9,212.62,
7 %, 23633 MiB, 24576 MiB,61.49 W,22.6,213.7,
7 %, 23633 MiB, 24576 MiB,62.39 W,34.9,214.79,
7 %, 23633 MiB, 24576 MiB,62.27 W,37.0,215.87,
7 %, 23633 MiB, 24576 MiB,62.36 W,36.0,216.95,
6 %, 23633 MiB, 24576 MiB,61.35 W,27.4,218.05,
6 %, 23633 MiB, 24576 MiB,61.48 W,31.4,219.14,
7 %, 23633 MiB, 24576 MiB,61.41 W,28.1,220.22,
7 %, 23633 MiB, 24576 MiB,62.65 W,35.5,221.3,
6 %, 23633 MiB, 24576 MiB,61.47 W,40.6,222.38,
7 %, 23633 MiB, 24576 MiB,61.41 W,36.2,223.47,
6 %, 23633 MiB, 24576 MiB,61.52 W,31.3,224.55,
6 %, 23633 MiB, 24576 MiB,61.31 W,36.2,225.64,
7 %, 23633 MiB, 24576 MiB,62.70 W,36.6,226.73,
6 %, 23633 MiB, 24576 MiB,63.05 W,23.2,227.81
