utilization_gpu,memory_used,memory_total,power_draw,cpu_usage,time,acc,flops,
0 %, 3 MiB, 24576 MiB,15.83 W,17.2,163.59,
0 %, 3 MiB, 24576 MiB,15.70 W,20.6,164.62,
0 %, 3 MiB, 24576 MiB,15.70 W,33.6,165.66,
0 %, 3 MiB, 24576 MiB,15.31 W,39.7,166.69,
0 %, 3 MiB, 24576 MiB,15.60 W,29.9,167.73,
0 %, 3 MiB, 24576 MiB,15.80 W,27.2,168.77,
0 %, 3 MiB, 24576 MiB,15.15 W,37.7,169.8,
0 %, 3 MiB, 24576 MiB,15.23 W,24.2,170.84,
0 %, 3 MiB, 24576 MiB,15.60 W,29.8,171.87,
0 %, 3 MiB, 24576 MiB,15.55 W,32.4,172.9,
0 %, 3 MiB, 24576 MiB,15.69 W,20.3,173.94,
0 %, 3 MiB, 24576 MiB,15.69 W,33.6,174.97,
0 %, 3 MiB, 24576 MiB,15.45 W,36.9,176.01,
0 %, 3 MiB, 24576 MiB,14.49 W,29.5,177.06,
0 %, 3 MiB, 24576 MiB,15.62 W,24.5,178.1,
0 %, 3 MiB, 24576 MiB,15.86 W,30.5,179.14,
0 %, 3 MiB, 24576 MiB,15.51 W,29.7,180.18,
0 %, 3 MiB, 24576 MiB,15.40 W,32.4,181.21,
0 %, 3 MiB, 24576 MiB,13.91 W,36.4,182.24,
0 %, 3 MiB, 24576 MiB,15.62 W,21.2,183.28,
0 %, 3 MiB, 24576 MiB,15.75 W,20.7,184.31,
0 %, 3 MiB, 24576 MiB,15.67 W,30.2,185.35,
0 %, 3 MiB, 24576 MiB,15.74 W,25.6,186.38,
0 %, 3 MiB, 24576 MiB,15.97 W,26.1,187.42,
0 %, 3 MiB, 24576 MiB,16.16 W,29.3,188.45,
0 %, 3 MiB, 24576 MiB,15.57 W,26.9,189.48,
0 %, 3 MiB, 24576 MiB,15.62 W,32.0,190.52,
0 %, 3 MiB, 24576 MiB,14.47 W,32.2,191.55,
0 %, 3 MiB, 24576 MiB,15.64 W,24.8,192.59,
0 %, 3 MiB, 24576 MiB,15.65 W,34.2,193.62,
0 %, 3 MiB, 24576 MiB,15.62 W,37.5,194.66,
0 %, 3 MiB, 24576 MiB,15.56 W,29.1,195.69,
0 %, 3 MiB, 24576 MiB,15.53 W,33.9,196.73,
0 %, 3 MiB, 24576 MiB,13.93 W,31.6,197.76,
0 %, 3 MiB, 24576 MiB,14.52 W,27.1,198.8,
0 %, 3 MiB, 24576 MiB,15.85 W,35.3,199.84,
0 %, 3 MiB, 24576 MiB,15.36 W,25.8,200.87,
0 %, 3 MiB, 24576 MiB,15.53 W,32.9,201.9,
0 %, 3 MiB, 24576 MiB,15.23 W,38.5,202.94,
0 %, 3 MiB, 24576 MiB,14.00 W,29.7,203.97,
0 %, 3 MiB, 24576 MiB,15.60 W,33.2,205.0,
0 %, 3 MiB, 24576 MiB,15.80 W,28.5,206.04,
0 %, 3 MiB, 24576 MiB,15.73 W,32.9,207.08,
0 %, 3 MiB, 24576 MiB,13.99 W,31.5,208.11,
0 %, 3 MiB, 24576 MiB,15.05 W,17.6,209.15,
0 %, 3 MiB, 24576 MiB,15.56 W,33.1,210.18,
0 %, 3 MiB, 24576 MiB,15.49 W,42.6,211.22,
0 %, 3 MiB, 24576 MiB,15.51 W,30.4,212.25,
0 %, 3 MiB, 24576 MiB,15.66 W,24.4,213.29,
0 %, 3 MiB, 24576 MiB,15.57 W,34.8,214.32,
0 %, 3 MiB, 24576 MiB,13.96 W,32.2,215.36,
0 %, 3 MiB, 24576 MiB,15.22 W,32.8,216.39,
0 %, 3 MiB, 24576 MiB,16.09 W,28.8,217.43,
0 %, 3 MiB, 24576 MiB,16.50 W,18.3,218.46,
0 %, 3 MiB, 24576 MiB,16.34 W,31.8,219.5,
0 %, 3 MiB, 24576 MiB,15.75 W,33.0,220.53,
0 %, 3 MiB, 24576 MiB,15.20 W,28.2,221.58,
0 %, 3 MiB, 24576 MiB,15.80 W,33.6,222.62,
0 %, 3 MiB, 24576 MiB,15.74 W,34.3,223.65,
0 %, 3 MiB, 24576 MiB,15.49 W,29.0,224.69,
0 %, 3 MiB, 24576 MiB,15.73 W,31.5,225.72,
0 %, 3 MiB, 24576 MiB,15.45 W,28.4,226.76,
0 %, 3 MiB, 24576 MiB,15.41 W,30.9,227.79,
0 %, 3 MiB, 24576 MiB,15.57 W,28.2,228.83,
0 %, 3 MiB, 24576 MiB,15.80 W,35.5,229.86,
0 %, 3 MiB, 24576 MiB,15.74 W,16.8,230.89,
0 %, 3 MiB, 24576 MiB,14.22 W,13.3,231.92,
0 %, 3 MiB, 24576 MiB,15.69 W,37.8,232.96,
0 %, 3 MiB, 24576 MiB,14.27 W,29.8,233.99,
0 %, 3 MiB, 24576 MiB,13.91 W,38.2,235.03,
0 %, 3 MiB, 24576 MiB,15.03 W,20.0,236.06,
0 %, 3 MiB, 24576 MiB,15.94 W,29.0,237.1,
0 %, 3 MiB, 24576 MiB,14.20 W,31.4,238.13,
0 %, 3 MiB, 24576 MiB,15.62 W,29.7,239.17,
0 %, 3 MiB, 24576 MiB,15.61 W,33.8,240.2,
0 %, 3 MiB, 24576 MiB,14.81 W,35.3,241.23,
0 %, 3 MiB, 24576 MiB,14.40 W,32.7,242.27,
0 %, 3 MiB, 24576 MiB,14.66 W,34.2,243.3,
0 %, 3 MiB, 24576 MiB,15.80 W,20.4,244.33,
0 %, 3 MiB, 24576 MiB,15.46 W,32.2,245.37,
0 %, 3 MiB, 24576 MiB,13.93 W,31.7,246.41,
0 %, 3 MiB, 24576 MiB,14.46 W,36.2,247.45,
0 %, 3 MiB, 24576 MiB,15.39 W,29.1,248.49,
0 %, 3 MiB, 24576 MiB,15.35 W,28.9,249.52,
0 %, 3 MiB, 24576 MiB,15.37 W,34.8,250.56,
0 %, 3 MiB, 24576 MiB,16.21 W,25.7,251.6,
0 %, 3 MiB, 24576 MiB,15.71 W,33.8,252.63,
0 %, 3 MiB, 24576 MiB,15.40 W,30.6,253.67,
0 %, 3 MiB, 24576 MiB,15.66 W,31.3,254.71,
0 %, 3 MiB, 24576 MiB,14.45 W,31.5,255.74,
0 %, 3 MiB, 24576 MiB,15.79 W,30.0,256.77,
0 %, 3 MiB, 24576 MiB,15.67 W,29.9,257.81,
0 %, 3 MiB, 24576 MiB,15.44 W,29.4,258.84,
0 %, 3 MiB, 24576 MiB,15.74 W,37.4,259.88,
