utilization_gpu,memory_used,memory_total,power_draw,cpu_usage,time,acc,flops,
0 %, 3 MiB, 24576 MiB,15.73 W,39.8,187.03,
0 %, 3 MiB, 24576 MiB,15.78 W,34.9,188.07,
0 %, 3 MiB, 24576 MiB,15.39 W,32.5,189.11,
0 %, 3 MiB, 24576 MiB,15.56 W,35.3,190.15,
0 %, 3 MiB, 24576 MiB,15.23 W,36.0,191.19,
0 %, 3 MiB, 24576 MiB,15.61 W,29.3,192.23,
0 %, 3 MiB, 24576 MiB,15.56 W,33.9,193.27,
0 %, 3 MiB, 24576 MiB,13.50 W,37.9,194.31,
0 %, 3 MiB, 24576 MiB,15.52 W,36.9,195.35,
0 %, 3 MiB, 24576 MiB,15.56 W,32.8,196.38,
0 %, 3 MiB, 24576 MiB,15.95 W,37.3,197.42,
0 %, 3 MiB, 24576 MiB,15.37 W,33.7,198.46,
0 %, 3 MiB, 24576 MiB,15.85 W,37.8,199.49,
0 %, 3 MiB, 24576 MiB,15.65 W,31.2,200.53,
0 %, 3 MiB, 24576 MiB,15.32 W,36.1,201.57,
0 %, 3 MiB, 24576 MiB,14.38 W,35.0,202.61,
0 %, 3 MiB, 24576 MiB,15.59 W,37.9,203.64,
0 %, 3 MiB, 24576 MiB,14.88 W,33.9,204.68,
0 %, 3 MiB, 24576 MiB,15.29 W,32.5,205.73,
0 %, 3 MiB, 24576 MiB,14.47 W,40.0,206.77,
0 %, 3 MiB, 24576 MiB,14.16 W,28.6,207.81,
0 %, 3 MiB, 24576 MiB,15.49 W,42.0,208.85,
0 %, 3 MiB, 24576 MiB,16.34 W,21.4,209.88,
0 %, 3 MiB, 24576 MiB,16.46 W,37.7,210.92,
0 %, 3 MiB, 24576 MiB,15.23 W,34.7,211.95,
0 %, 3 MiB, 24576 MiB,15.72 W,36.6,212.99,
0 %, 3 MiB, 24576 MiB,15.47 W,33.7,214.03,
0 %, 3 MiB, 24576 MiB,15.80 W,39.0,215.07,
0 %, 3 MiB, 24576 MiB,15.90 W,30.0,216.1,
0 %, 3 MiB, 24576 MiB,15.91 W,40.4,217.14,
0 %, 3 MiB, 24576 MiB,15.54 W,33.5,218.18,
0 %, 3 MiB, 24576 MiB,15.58 W,38.7,219.22,
0 %, 3 MiB, 24576 MiB,15.61 W,44.4,220.26,
0 %, 3 MiB, 24576 MiB,14.65 W,33.2,221.3,
0 %, 3 MiB, 24576 MiB,15.62 W,31.3,222.33,
0 %, 3 MiB, 24576 MiB,15.59 W,36.3,223.37,
0 %, 3 MiB, 24576 MiB,15.59 W,40.5,224.41,
0 %, 3 MiB, 24576 MiB,15.54 W,29.4,225.45,
0 %, 3 MiB, 24576 MiB,16.04 W,34.9,226.49,
0 %, 3 MiB, 24576 MiB,14.96 W,37.2,227.53,
0 %, 3 MiB, 24576 MiB,15.85 W,32.3,228.58,
0 %, 3 MiB, 24576 MiB,15.18 W,40.0,229.62,
0 %, 3 MiB, 24576 MiB,14.24 W,37.8,230.66,
0 %, 3 MiB, 24576 MiB,15.60 W,28.9,231.7,
0 %, 3 MiB, 24576 MiB,15.81 W,32.4,232.74,
0 %, 3 MiB, 24576 MiB,15.78 W,37.5,233.78,
0 %, 3 MiB, 24576 MiB,14.80 W,30.6,234.82,
0 %, 3 MiB, 24576 MiB,15.34 W,32.8,235.86,
0 %, 3 MiB, 24576 MiB,15.39 W,37.8,236.89,
0 %, 3 MiB, 24576 MiB,16.40 W,42.2,237.93,
0 %, 3 MiB, 24576 MiB,16.39 W,27.0,238.97,
0 %, 3 MiB, 24576 MiB,15.68 W,41.3,240.02,
0 %, 3 MiB, 24576 MiB,15.76 W,35.4,241.06,
0 %, 3 MiB, 24576 MiB,15.62 W,34.5,242.09,
0 %, 3 MiB, 24576 MiB,15.74 W,34.5,243.13,
0 %, 3 MiB, 24576 MiB,15.13 W,38.7,244.17,
0 %, 3 MiB, 24576 MiB,14.50 W,35.6,245.21,
0 %, 3 MiB, 24576 MiB,15.48 W,39.4,246.24,
0 %, 3 MiB, 24576 MiB,15.63 W,30.2,247.28,
0 %, 3 MiB, 24576 MiB,15.66 W,39.4,248.32,
