utilization_gpu,memory_used,memory_total,power_draw,cpu_usage,time,acc,flops,
19 %, 23633 MiB, 24576 MiB,72.93 W,11.1,165.8,
20 %, 23633 MiB, 24576 MiB,72.40 W,8.9,166.89,
19 %, 23633 MiB, 24576 MiB,70.47 W,10.4,167.98,
20 %, 23633 MiB, 24576 MiB,67.59 W,8.5,169.08,
19 %, 23633 MiB, 24576 MiB,66.59 W,8.1,170.18,
20 %, 23633 MiB, 24576 MiB,66.60 W,9.6,171.27,
20 %, 23633 MiB, 24576 MiB,66.20 W,10.8,172.36,
19 %, 23633 MiB, 24576 MiB,71.52 W,10.8,173.46,
19 %, 23633 MiB, 24576 MiB,70.75 W,10.7,174.55,
20 %, 23633 MiB, 24576 MiB,68.88 W,6.6,175.65,
19 %, 23633 MiB, 24576 MiB,68.45 W,10.4,176.74,
19 %, 23633 MiB, 24576 MiB,68.05 W,8.2,177.83,
19 %, 23633 MiB, 24576 MiB,67.66 W,9.5,178.93,
20 %, 23633 MiB, 24576 MiB,67.57 W,10.2,180.02,
19 %, 23633 MiB, 24576 MiB,72.10 W,9.8,181.11,
20 %, 23633 MiB, 24576 MiB,71.61 W,10.1,182.21,
19 %, 23633 MiB, 24576 MiB,69.64 W,7.8,183.31,
20 %, 23633 MiB, 24576 MiB,69.62 W,9.8,184.42,
19 %, 23633 MiB, 24576 MiB,70.09 W,11.7,185.51,
19 %, 23633 MiB, 24576 MiB,69.07 W,12.1,186.63,
19 %, 23633 MiB, 24576 MiB,68.66 W,9.5,187.71,
19 %, 23633 MiB, 24576 MiB,67.95 W,9.6,188.8,
19 %, 23633 MiB, 24576 MiB,67.51 W,12.9,189.92,
18 %, 23633 MiB, 24576 MiB,67.61 W,11.6,191.01,
19 %, 23633 MiB, 24576 MiB,67.84 W,12.7,192.11,
19 %, 23633 MiB, 24576 MiB,67.11 W,11.3,193.2,
19 %, 23633 MiB, 24576 MiB,72.75 W,11.8,194.29,
19 %, 23633 MiB, 24576 MiB,73.25 W,9.9,195.38,
19 %, 23633 MiB, 24576 MiB,70.44 W,11.2,196.49,
19 %, 23633 MiB, 24576 MiB,69.85 W,12.2,197.58,
19 %, 23633 MiB, 24576 MiB,69.59 W,12.2,198.7,
18 %, 23633 MiB, 24576 MiB,70.15 W,13.5,199.79,
18 %, 23633 MiB, 24576 MiB,68.94 W,10.7,200.89,
19 %, 23633 MiB, 24576 MiB,67.74 W,12.7,202.01,
18 %, 23633 MiB, 24576 MiB,69.87 W,10.0,203.11,
19 %, 23633 MiB, 24576 MiB,68.84 W,11.2,204.2,
19 %, 23633 MiB, 24576 MiB,67.81 W,9.6,205.29,
19 %, 23633 MiB, 24576 MiB,67.59 W,9.7,206.38,
20 %, 23633 MiB, 24576 MiB,67.19 W,10.3,207.47,
20 %, 23633 MiB, 24576 MiB,72.48 W,10.0,208.56,
20 %, 23633 MiB, 24576 MiB,70.13 W,10.0,209.66,
19 %, 23633 MiB, 24576 MiB,69.82 W,8.1,210.76,
19 %, 23633 MiB, 24576 MiB,69.18 W,9.6,211.86,
20 %, 23633 MiB, 24576 MiB,67.80 W,9.9,212.96,
19 %, 23633 MiB, 24576 MiB,67.45 W,10.3,214.06,
19 %, 23633 MiB, 24576 MiB,67.68 W,11.0,215.15,
19 %, 23633 MiB, 24576 MiB,66.33 W,7.3,216.24,
20 %, 23633 MiB, 24576 MiB,65.96 W,11.0,217.34,
19 %, 23633 MiB, 24576 MiB,72.49 W,10.1,218.43,
19 %, 23633 MiB, 24576 MiB,71.00 W,8.5,219.53,
20 %, 23633 MiB, 24576 MiB,71.58 W,10.2,220.63,
20 %, 23633 MiB, 24576 MiB,69.77 W,9.4,221.72,
20 %, 23633 MiB, 24576 MiB,67.60 W,10.5,222.82,
19 %, 23633 MiB, 24576 MiB,67.81 W,9.5,223.92,
20 %, 23633 MiB, 24576 MiB,67.46 W,8.3,225.01,
20 %, 23633 MiB, 24576 MiB,66.81 W,10.5,226.1,
19 %, 23633 MiB, 24576 MiB,73.32 W,7.4,227.19,
20 %, 23633 MiB, 24576 MiB,72.76 W,8.7,228.28,
19 %, 23633 MiB, 24576 MiB,71.41 W,9.9,229.37,
19 %, 23633 MiB, 24576 MiB,68.48 W,9.9,230.46,
20 %, 23633 MiB, 24576 MiB,67.48 W,10.6,231.56,
20 %, 23633 MiB, 24576 MiB,67.75 W,8.4,232.65,
19 %, 23633 MiB, 24576 MiB,67.57 W,9.9,233.75,
19 %, 23633 MiB, 24576 MiB,66.48 W,9.0,234.84,
19 %, 23633 MiB, 24576 MiB,63.16 W,7.0,235.95,
19 %, 23633 MiB, 24576 MiB,65.64 W,9.4,237.06,
19 %, 23633 MiB, 24576 MiB,71.98 W,10.5,238.15,
19 %, 23633 MiB, 24576 MiB,70.45 W,10.3,239.24,
19 %, 23633 MiB, 24576 MiB,69.77 W,9.2,240.33,
19 %, 23633 MiB, 24576 MiB,67.75 W,10.7,241.43,
19 %, 23633 MiB, 24576 MiB,67.76 W,7.6,242.52,
19 %, 23633 MiB, 24576 MiB,67.54 W,10.8,243.61,
20 %, 23633 MiB, 24576 MiB,73.28 W,8.9,244.7,
19 %, 23633 MiB, 24576 MiB,70.88 W,12.6,245.79,
