utilization_gpu,memory_used,memory_total,power_draw,cpu_usage,time,acc,flops,
2 %, 23633 MiB, 24576 MiB,60.46 W,11.0,138.52,
2 %, 23633 MiB, 24576 MiB,60.18 W,11.0,139.59,
2 %, 23633 MiB, 24576 MiB,60.88 W,10.8,140.66,
2 %, 23633 MiB, 24576 MiB,60.30 W,10.8,141.73,
2 %, 23633 MiB, 24576 MiB,60.35 W,11.1,142.79,
2 %, 23633 MiB, 24576 MiB,60.36 W,11.6,143.85,
2 %, 23633 MiB, 24576 MiB,60.46 W,11.0,144.92,
2 %, 23633 MiB, 24576 MiB,60.61 W,11.0,145.98,
2 %, 23633 MiB, 24576 MiB,60.27 W,10.9,147.05,
2 %, 23633 MiB, 24576 MiB,60.75 W,11.2,148.11,
2 %, 23633 MiB, 24576 MiB,60.83 W,10.9,149.18,
2 %, 23633 MiB, 24576 MiB,60.82 W,10.8,150.24,
2 %, 23633 MiB, 24576 MiB,60.76 W,10.8,151.3,
2 %, 23633 MiB, 24576 MiB,60.58 W,10.9,152.37,
2 %, 23633 MiB, 24576 MiB,60.80 W,10.6,153.43,
2 %, 23633 MiB, 24576 MiB,60.76 W,10.9,154.5,
2 %, 23633 MiB, 24576 MiB,60.66 W,10.7,155.56,
2 %, 23633 MiB, 24576 MiB,60.12 W,11.0,156.62,
2 %, 23633 MiB, 24576 MiB,60.53 W,10.7,157.69,
2 %, 23633 MiB, 24576 MiB,60.34 W,11.6,158.76,
2 %, 23633 MiB, 24576 MiB,60.47 W,11.0,159.82,
2 %, 23633 MiB, 24576 MiB,60.77 W,11.6,160.89,
2 %, 23633 MiB, 24576 MiB,60.52 W,10.9,161.95,
2 %, 23633 MiB, 24576 MiB,61.03 W,11.3,163.02,
2 %, 23633 MiB, 24576 MiB,60.62 W,10.7,164.08,
2 %, 23633 MiB, 24576 MiB,60.79 W,10.8,165.15,
2 %, 23633 MiB, 24576 MiB,60.83 W,10.9,166.21,
2 %, 23633 MiB, 24576 MiB,60.83 W,10.5,167.28,
2 %, 23633 MiB, 24576 MiB,60.40 W,10.8,168.34,
2 %, 23633 MiB, 24576 MiB,60.82 W,10.9,169.41,
2 %, 23633 MiB, 24576 MiB,60.93 W,10.7,170.47,
2 %, 23633 MiB, 24576 MiB,60.77 W,10.8,171.53,
2 %, 23633 MiB, 24576 MiB,60.52 W,10.9,172.6,
2 %, 23633 MiB, 24576 MiB,60.54 W,11.4,173.67,
2 %, 23633 MiB, 24576 MiB,60.82 W,10.9,174.74,
2 %, 23633 MiB, 24576 MiB,60.74 W,11.3,175.81,
2 %, 23633 MiB, 24576 MiB,60.67 W,11.8,176.88,
2 %, 23633 MiB, 24576 MiB,60.61 W,11.4,177.94,
2 %, 23633 MiB, 24576 MiB,60.64 W,10.9,179.01,
2 %, 23633 MiB, 24576 MiB,60.76 W,10.7,180.08,
2 %, 23633 MiB, 24576 MiB,60.58 W,10.8,181.14,
2 %, 23633 MiB, 24576 MiB,60.93 W,10.9,182.21,
2 %, 23633 MiB, 24576 MiB,60.97 W,10.8,183.27,
2 %, 23633 MiB, 24576 MiB,60.34 W,10.8,184.34,
2 %, 23633 MiB, 24576 MiB,60.83 W,10.9,185.4,
2 %, 23633 MiB, 24576 MiB,60.71 W,10.7,186.47,
2 %, 23633 MiB, 24576 MiB,60.50 W,10.8,187.53,
2 %, 23633 MiB, 24576 MiB,60.86 W,11.8,188.6,
2 %, 23633 MiB, 24576 MiB,60.31 W,11.0,189.66,
2 %, 23633 MiB, 24576 MiB,60.56 W,11.2,190.74,
2 %, 23633 MiB, 24576 MiB,60.56 W,10.9,191.8,
2 %, 23633 MiB, 24576 MiB,60.22 W,11.3,192.87,
2 %, 23633 MiB, 24576 MiB,60.63 W,10.8,193.93,
2 %, 23633 MiB, 24576 MiB,60.42 W,11.0,194.99,
2 %, 23633 MiB, 24576 MiB,60.65 W,10.9,196.06,
2 %, 23633 MiB, 24576 MiB,60.37 W,10.9,197.12,
2 %, 23633 MiB, 24576 MiB,60.51 W,10.7,198.19,
2 %, 23633 MiB, 24576 MiB,60.74 W,10.7,199.25,
2 %, 23633 MiB, 24576 MiB,60.64 W,10.7,200.32,
2 %, 23633 MiB, 24576 MiB,60.01 W,10.8,201.38,
2 %, 23633 MiB, 24576 MiB,60.33 W,10.8,202.44,
2 %, 23633 MiB, 24576 MiB,60.30 W,11.0,203.51,
2 %, 23633 MiB, 24576 MiB,60.69 W,11.6,204.59,
2 %, 23633 MiB, 24576 MiB,60.51 W,10.7,205.65,
2 %, 23633 MiB, 24576 MiB,60.14 W,11.0,206.72,
2 %, 23633 MiB, 24576 MiB,60.58 W,10.9,207.78,
2 %, 23633 MiB, 24576 MiB,60.61 W,11.0,208.85,
2 %, 23633 MiB, 24576 MiB,60.65 W,10.8,209.92,
2 %, 23633 MiB, 24576 MiB,60.51 W,11.0,210.99,
2 %, 23633 MiB, 24576 MiB,60.41 W,10.8,212.05,
2 %, 23633 MiB, 24576 MiB,60.55 W,11.1,213.11,
2 %, 23633 MiB, 24576 MiB,60.43 W,10.9,214.18,
2 %, 23633 MiB, 24576 MiB,60.25 W,11.0,215.24,
2 %, 23633 MiB, 24576 MiB,60.66 W,10.8,216.31,
2 %, 23633 MiB, 24576 MiB,60.52 W,10.6,217.37,
2 %, 23633 MiB, 24576 MiB,60.42 W,10.9,218.43,
2 %, 23633 MiB, 24576 MiB,60.81 W,11.6,219.5,
2 %, 23633 MiB, 24576 MiB,60.30 W,11.6,220.56,
2 %, 23633 MiB, 24576 MiB,60.61 W,11.2,221.63,
2 %, 23633 MiB, 24576 MiB,60.75 W,10.6,222.69,
2 %, 23633 MiB, 24576 MiB,60.62 W,11.6,223.75,
2 %, 23633 MiB, 24576 MiB,60.46 W,10.9,224.82,
2 %, 23633 MiB, 24576 MiB,60.66 W,10.9,225.88,
2 %, 23633 MiB, 24576 MiB,60.49 W,10.9,226.95,
2 %, 23633 MiB, 24576 MiB,60.56 W,11.0,228.01,
2 %, 23633 MiB, 24576 MiB,60.22 W,10.8,229.08,
2 %, 23633 MiB, 24576 MiB,60.48 W,10.9,230.15,
2 %, 23633 MiB, 24576 MiB,60.40 W,10.9,231.21,
2 %, 23633 MiB, 24576 MiB,60.71 W,10.8,232.27,
2 %, 23633 MiB, 24576 MiB,60.56 W,10.8,233.34,
2 %, 23633 MiB, 24576 MiB,60.37 W,11.7,234.4,
2 %, 23633 MiB, 24576 MiB,60.83 W,10.7,235.48,
2 %, 23633 MiB, 24576 MiB,60.83 W,11.0,236.54,
2 %, 23633 MiB, 24576 MiB,60.48 W,11.2,237.61,
2 %, 23633 MiB, 24576 MiB,60.74 W,13.3,238.68,
2 %, 23633 MiB, 24576 MiB,60.69 W,11.4,239.76,
2 %, 23633 MiB, 24576 MiB,61.28 W,10.8,240.82,
2 %, 23633 MiB, 24576 MiB,60.70 W,10.9,241.88,
2 %, 23633 MiB, 24576 MiB,60.42 W,10.8,242.95,
2 %, 23633 MiB, 24576 MiB,60.50 W,10.8,244.01,
2 %, 23633 MiB, 24576 MiB,60.50 W,10.8,245.08,
2 %, 23633 MiB, 24576 MiB,60.31 W,10.7,246.15,
2 %, 23633 MiB, 24576 MiB,60.39 W,11.0,247.22,
2 %, 23633 MiB, 24576 MiB,60.53 W,10.9,248.29,
2 %, 23633 MiB, 24576 MiB,60.60 W,11.7,249.36,
2 %, 23633 MiB, 24576 MiB,60.78 W,10.9,250.42,
2 %, 23633 MiB, 24576 MiB,60.60 W,11.2,251.48,
2 %, 23633 MiB, 24576 MiB,60.55 W,10.6,252.54,
2 %, 23633 MiB, 24576 MiB,60.48 W,11.1,253.6,
2 %, 23633 MiB, 24576 MiB,60.74 W,11.1,254.67,
2 %, 23633 MiB, 24576 MiB,60.15 W,10.8,255.73,
2 %, 23633 MiB, 24576 MiB,60.01 W,10.9,256.8,
2 %, 23633 MiB, 24576 MiB,60.53 W,11.0,257.87,
2 %, 23633 MiB, 24576 MiB,59.80 W,10.7,258.93,
2 %, 23633 MiB, 24576 MiB,59.93 W,11.0,260.0,
2 %, 23633 MiB, 24576 MiB,60.23 W,10.7,261.07,
2 %, 23633 MiB, 24576 MiB,60.12 W,11.0,262.13,
2 %, 23633 MiB, 24576 MiB,60.41 W,10.7,263.2,
2 %, 23633 MiB, 24576 MiB,59.90 W,11.4,264.26,
2 %, 23633 MiB, 24576 MiB,59.95 W,10.9,265.32,
2 %, 23633 MiB, 24576 MiB,60.15 W,11.2,266.39,
2 %, 23633 MiB, 24576 MiB,60.17 W,11.1,267.45,
2 %, 23633 MiB, 24576 MiB,60.04 W,10.8,268.53,
2 %, 23633 MiB, 24576 MiB,60.21 W,11.1,269.59,
2 %, 23633 MiB, 24576 MiB,60.24 W,10.8,270.66,
2 %, 23633 MiB, 24576 MiB,60.55 W,10.9,271.72,
2 %, 23633 MiB, 24576 MiB,60.49 W,10.9,272.79,
2 %, 23633 MiB, 24576 MiB,60.01 W,11.0,273.85,
2 %, 23633 MiB, 24576 MiB,60.39 W,10.9,274.91,
2 %, 23633 MiB, 24576 MiB,59.98 W,10.7,275.98,
2 %, 23633 MiB, 24576 MiB,60.32 W,10.9,277.04,
2 %, 23633 MiB, 24576 MiB,60.26 W,10.9,278.11,
2 %, 23633 MiB, 24576 MiB,60.09 W,11.5,279.17,
2 %, 23633 MiB, 24576 MiB,60.38 W,11.2,280.24,
2 %, 23633 MiB, 24576 MiB,60.46 W,11.4,281.3,
2 %, 23633 MiB, 24576 MiB,60.19 W,11.0,282.37,
2 %, 23633 MiB, 24576 MiB,60.30 W,10.9,283.43,
2 %, 23633 MiB, 24576 MiB,60.16 W,11.4,284.5,
2 %, 23633 MiB, 24576 MiB,60.63 W,10.8,285.56,
2 %, 23633 MiB, 24576 MiB,60.49 W,10.7,286.63,
2 %, 23633 MiB, 24576 MiB,60.63 W,10.9,287.69,
2 %, 23633 MiB, 24576 MiB,60.38 W,10.4,288.76,
2 %, 23633 MiB, 24576 MiB,60.04 W,10.9,289.82,
2 %, 23633 MiB, 24576 MiB,60.54 W,10.9,290.88,
2 %, 23633 MiB, 24576 MiB,60.28 W,10.9,291.95,
2 %, 23633 MiB, 24576 MiB,60.51 W,10.8,293.01,
2 %, 23633 MiB, 24576 MiB,60.30 W,11.7,294.08,
2 %, 23633 MiB, 24576 MiB,60.63 W,10.7,295.14,
2 %, 23633 MiB, 24576 MiB,60.58 W,10.9,296.2,
2 %, 23633 MiB, 24576 MiB,60.54 W,11.4,297.28,
2 %, 23633 MiB, 24576 MiB,60.53 W,10.7,298.36,
2 %, 23633 MiB, 24576 MiB,60.43 W,11.6,299.43,
2 %, 23633 MiB, 24576 MiB,60.37 W,12.8,300.49,
2 %, 23633 MiB, 24576 MiB,60.27 W,10.9,301.55,
2 %, 23633 MiB, 24576 MiB,60.81 W,10.8,302.62,
2 %, 23633 MiB, 24576 MiB,60.42 W,10.7,303.68,
2 %, 23633 MiB, 24576 MiB,60.21 W,10.6,304.76,
2 %, 23633 MiB, 24576 MiB,60.68 W,10.8,305.82,
2 %, 23633 MiB, 24576 MiB,60.37 W,11.0,306.89,
2 %, 23633 MiB, 24576 MiB,60.62 W,10.8,307.95,
2 %, 23633 MiB, 24576 MiB,60.39 W,11.6,309.01,
2 %, 23633 MiB, 24576 MiB,60.35 W,11.1,310.08,
2 %, 23633 MiB, 24576 MiB,60.58 W,11.0,311.15,
2 %, 23633 MiB, 24576 MiB,60.25 W,11.1,312.21,
2 %, 23633 MiB, 24576 MiB,60.44 W,10.9,313.27,
2 %, 23633 MiB, 24576 MiB,60.47 W,11.1,314.34,
2 %, 23633 MiB, 24576 MiB,60.48 W,11.0,315.4,
2 %, 23633 MiB, 24576 MiB,60.77 W,10.8,316.47,
2 %, 23633 MiB, 24576 MiB,60.14 W,10.8,317.54,
2 %, 23633 MiB, 24576 MiB,60.15 W,11.0,318.61,
2 %, 23633 MiB, 24576 MiB,60.19 W,11.1,319.67,
2 %, 23633 MiB, 24576 MiB,60.15 W,10.6,320.73,
2 %, 23633 MiB, 24576 MiB,60.57 W,10.6,321.8,
2 %, 23633 MiB, 24576 MiB,60.44 W,10.8,322.86,
2 %, 23633 MiB, 24576 MiB,60.00 W,11.6,323.93,
2 %, 23633 MiB, 24576 MiB,60.24 W,10.9,324.99,
2 %, 23633 MiB, 24576 MiB,60.05 W,10.9,326.06,
2 %, 23633 MiB, 24576 MiB,60.42 W,11.2,327.13,
2 %, 23633 MiB, 24576 MiB,59.94 W,10.9,328.19,
2 %, 23633 MiB, 24576 MiB,60.21 W,10.6,329.26,
2 %, 23633 MiB, 24576 MiB,60.70 W,11.0,330.32,
2 %, 23633 MiB, 24576 MiB,60.05 W,10.8,331.39,
2 %, 23633 MiB, 24576 MiB,60.24 W,10.8,332.46,
2 %, 23633 MiB, 24576 MiB,60.46 W,10.9,333.53,
2 %, 23633 MiB, 24576 MiB,60.24 W,10.8,334.59,
2 %, 23633 MiB, 24576 MiB,60.37 W,10.7,335.66,
2 %, 23633 MiB, 24576 MiB,60.40 W,11.2,336.72,
2 %, 23633 MiB, 24576 MiB,59.96 W,10.7,337.78,
2 %, 23633 MiB, 24576 MiB,60.69 W,11.6,338.86,
2 %, 23633 MiB, 24576 MiB,60.52 W,10.6,339.92,
2 %, 23633 MiB, 24576 MiB,60.38 W,12.0,340.99,
2 %, 23633 MiB, 24576 MiB,60.63 W,11.2,342.05,
2 %, 23633 MiB, 24576 MiB,60.32 W,11.1,343.12,
2 %, 23633 MiB, 24576 MiB,60.62 W,11.3,344.18,
2 %, 23633 MiB, 24576 MiB,60.18 W,11.3,345.24,
2 %, 23633 MiB, 24576 MiB,59.94 W,10.8,346.31,
2 %, 23633 MiB, 24576 MiB,60.19 W,10.9,347.37,
2 %, 23633 MiB, 24576 MiB,60.24 W,11.0,348.44,
2 %, 23633 MiB, 24576 MiB,60.50 W,10.8,349.5,
2 %, 23633 MiB, 24576 MiB,60.22 W,10.8,350.57,
2 %, 23633 MiB, 24576 MiB,60.37 W,10.4,351.63,
2 %, 23633 MiB, 24576 MiB,60.42 W,10.9,352.69,
2 %, 23633 MiB, 24576 MiB,60.26 W,11.4,353.76,
2 %, 23633 MiB, 24576 MiB,60.55 W,11.0,354.83,
2 %, 23633 MiB, 24576 MiB,60.63 W,10.8,355.89,
2 %, 23633 MiB, 24576 MiB,60.34 W,10.9,356.96,
2 %, 23633 MiB, 24576 MiB,60.53 W,11.1,358.03,
2 %, 23633 MiB, 24576 MiB,60.37 W,11.0,359.11,
2 %, 23633 MiB, 24576 MiB,60.54 W,11.3,360.18,
2 %, 23633 MiB, 24576 MiB,60.51 W,11.7,361.24,
2 %, 23633 MiB, 24576 MiB,60.76 W,12.8,362.3,
2 %, 23633 MiB, 24576 MiB,60.33 W,10.7,363.38,
2 %, 23633 MiB, 24576 MiB,60.51 W,10.8,364.44,
2 %, 23633 MiB, 24576 MiB,60.31 W,11.0,365.51,
2 %, 23633 MiB, 24576 MiB,60.45 W,10.9,366.57,
2 %, 23633 MiB, 24576 MiB,60.35 W,10.8,367.64,
2 %, 23633 MiB, 24576 MiB,60.53 W,11.8,368.7,
2 %, 23633 MiB, 24576 MiB,60.72 W,10.9,369.77,
2 %, 23633 MiB, 24576 MiB,60.72 W,10.9,370.83,
2 %, 23633 MiB, 24576 MiB,60.78 W,10.9,371.9,
2 %, 23633 MiB, 24576 MiB,60.55 W,11.0,372.98,
2 %, 23633 MiB, 24576 MiB,60.53 W,10.8,374.04,
2 %, 23633 MiB, 24576 MiB,60.56 W,11.2,375.1,
2 %, 23633 MiB, 24576 MiB,60.81 W,11.2,376.18,
2 %, 23633 MiB, 24576 MiB,60.41 W,10.8,377.24,
2 %, 23633 MiB, 24576 MiB,60.84 W,10.9,378.31,
2 %, 23633 MiB, 24576 MiB,60.43 W,11.1,379.37,
2 %, 23633 MiB, 24576 MiB,60.67 W,10.7,380.44,
2 %, 23633 MiB, 24576 MiB,60.56 W,10.7,381.5,
2 %, 23633 MiB, 24576 MiB,60.79 W,11.0,382.56,
2 %, 23633 MiB, 24576 MiB,60.63 W,11.5,383.63,
2 %, 23633 MiB, 24576 MiB,60.39 W,10.8,384.7,
2 %, 23633 MiB, 24576 MiB,60.31 W,11.1,385.76,
2 %, 23633 MiB, 24576 MiB,60.63 W,10.8,386.83,
2 %, 23633 MiB, 24576 MiB,60.52 W,11.2,387.89,
2 %, 23633 MiB, 24576 MiB,60.54 W,10.9,388.96,
2 %, 23633 MiB, 24576 MiB,60.43 W,10.8,390.02,
2 %, 23633 MiB, 24576 MiB,60.57 W,11.1,391.09,
2 %, 23633 MiB, 24576 MiB,60.42 W,10.8,392.16,
2 %, 23633 MiB, 24576 MiB,60.65 W,10.9,393.23,
2 %, 23633 MiB, 24576 MiB,60.48 W,10.8,394.29,
2 %, 23633 MiB, 24576 MiB,60.43 W,11.0,395.36,
2 %, 23633 MiB, 24576 MiB,60.51 W,11.0,396.42,
2 %, 23633 MiB, 24576 MiB,60.39 W,10.8,397.49,
2 %, 23633 MiB, 24576 MiB,60.60 W,11.5,398.55,
2 %, 23633 MiB, 24576 MiB,60.32 W,11.5,399.62,
2 %, 23633 MiB, 24576 MiB,60.50 W,10.8,400.69,
2 %, 23633 MiB, 24576 MiB,60.66 W,11.5,401.75,
2 %, 23633 MiB, 24576 MiB,60.42 W,11.1,402.82,
2 %, 23633 MiB, 24576 MiB,60.32 W,10.8,403.88,
2 %, 23633 MiB, 24576 MiB,60.31 W,11.0,404.94,
