utilization_gpu,memory_used,memory_total,power_draw,cpu_usage,time,acc,flops,
0 %, 3 MiB, 24576 MiB,9.84 W,12.5,280.87,
0 %, 3 MiB, 24576 MiB,9.79 W,11.5,281.9,
0 %, 3 MiB, 24576 MiB,10.07 W,11.9,282.94,
0 %, 3 MiB, 24576 MiB,10.27 W,11.9,283.97,
0 %, 3 MiB, 24576 MiB,9.73 W,11.7,285.01,
0 %, 3 MiB, 24576 MiB,9.69 W,11.8,286.05,
0 %, 3 MiB, 24576 MiB,9.92 W,11.8,287.08,
0 %, 3 MiB, 24576 MiB,9.85 W,11.6,288.12,
0 %, 3 MiB, 24576 MiB,10.46 W,12.1,289.15,
0 %, 3 MiB, 24576 MiB,9.95 W,11.7,290.19,
0 %, 3 MiB, 24576 MiB,10.24 W,11.7,291.23,
0 %, 3 MiB, 24576 MiB,10.73 W,11.6,292.27,
0 %, 3 MiB, 24576 MiB,10.17 W,11.6,293.31,
0 %, 3 MiB, 24576 MiB,9.80 W,12.0,294.35,
0 %, 3 MiB, 24576 MiB,10.09 W,12.4,295.38,
0 %, 3 MiB, 24576 MiB,9.54 W,12.4,296.42,
0 %, 3 MiB, 24576 MiB,9.90 W,12.5,297.46,
0 %, 3 MiB, 24576 MiB,9.44 W,12.5,298.49,
0 %, 3 MiB, 24576 MiB,10.15 W,11.9,299.53,
0 %, 3 MiB, 24576 MiB,10.27 W,12.2,300.56,
0 %, 3 MiB, 24576 MiB,10.57 W,11.8,301.61,
0 %, 3 MiB, 24576 MiB,9.94 W,11.7,302.64,
0 %, 3 MiB, 24576 MiB,10.17 W,11.7,303.68,
0 %, 3 MiB, 24576 MiB,9.87 W,12.2,304.72,
0 %, 3 MiB, 24576 MiB,10.42 W,11.7,305.76,
0 %, 3 MiB, 24576 MiB,10.20 W,11.8,306.79,
0 %, 3 MiB, 24576 MiB,10.15 W,11.9,307.83,
0 %, 3 MiB, 24576 MiB,9.85 W,11.6,308.87,
0 %, 3 MiB, 24576 MiB,10.56 W,12.0,309.9,
0 %, 3 MiB, 24576 MiB,10.26 W,12.7,310.93,
0 %, 3 MiB, 24576 MiB,10.57 W,11.9,311.97,
0 %, 3 MiB, 24576 MiB,10.15 W,11.8,313.01,
0 %, 3 MiB, 24576 MiB,9.72 W,11.8,314.05,
0 %, 3 MiB, 24576 MiB,9.50 W,11.6,315.08,
0 %, 3 MiB, 24576 MiB,9.38 W,11.8,316.13,
0 %, 3 MiB, 24576 MiB,10.41 W,11.7,317.16,
0 %, 3 MiB, 24576 MiB,10.10 W,11.8,318.2,
0 %, 3 MiB, 24576 MiB,9.47 W,11.7,319.24,
0 %, 3 MiB, 24576 MiB,10.90 W,12.2,320.28,
0 %, 3 MiB, 24576 MiB,10.12 W,11.8,321.32,
0 %, 3 MiB, 24576 MiB,10.34 W,11.8,322.35,
0 %, 3 MiB, 24576 MiB,10.10 W,12.0,323.38,
0 %, 3 MiB, 24576 MiB,10.31 W,11.9,324.42,
0 %, 3 MiB, 24576 MiB,9.89 W,12.1,325.45,
0 %, 3 MiB, 24576 MiB,10.02 W,12.7,326.49,
0 %, 3 MiB, 24576 MiB,9.72 W,11.8,327.52,
0 %, 3 MiB, 24576 MiB,9.54 W,11.8,328.56,
0 %, 3 MiB, 24576 MiB,9.92 W,11.9,329.6,
0 %, 3 MiB, 24576 MiB,9.70 W,11.8,330.64,
0 %, 3 MiB, 24576 MiB,9.80 W,11.8,331.67,
0 %, 3 MiB, 24576 MiB,9.33 W,12.0,332.71,
0 %, 3 MiB, 24576 MiB,9.49 W,12.0,333.75,
0 %, 3 MiB, 24576 MiB,9.52 W,12.0,334.78,
0 %, 3 MiB, 24576 MiB,9.98 W,11.7,335.82,
0 %, 3 MiB, 24576 MiB,9.80 W,11.6,336.86,
0 %, 3 MiB, 24576 MiB,9.92 W,12.2,337.9,
0 %, 3 MiB, 24576 MiB,9.62 W,11.5,338.94,
0 %, 3 MiB, 24576 MiB,9.30 W,11.7,339.98,
0 %, 3 MiB, 24576 MiB,9.45 W,12.8,341.02,
0 %, 3 MiB, 24576 MiB,9.95 W,11.7,342.05,
0 %, 3 MiB, 24576 MiB,10.39 W,12.0,343.09,
0 %, 3 MiB, 24576 MiB,9.48 W,11.8,344.14,
0 %, 3 MiB, 24576 MiB,9.96 W,11.7,345.17,
0 %, 3 MiB, 24576 MiB,9.86 W,11.6,346.21,
0 %, 3 MiB, 24576 MiB,10.10 W,11.8,347.25,
0 %, 3 MiB, 24576 MiB,10.07 W,11.8,348.28,
0 %, 3 MiB, 24576 MiB,10.09 W,12.0,349.32,
0 %, 3 MiB, 24576 MiB,10.52 W,12.1,350.36,
0 %, 3 MiB, 24576 MiB,10.59 W,11.7,351.4,
0 %, 3 MiB, 24576 MiB,10.12 W,11.8,352.43,
0 %, 3 MiB, 24576 MiB,10.13 W,11.5,353.47,
0 %, 3 MiB, 24576 MiB,9.65 W,11.9,354.51,
0 %, 3 MiB, 24576 MiB,10.13 W,12.5,355.54,
0 %, 3 MiB, 24576 MiB,9.64 W,11.8,356.58,
0 %, 3 MiB, 24576 MiB,10.41 W,12.4,357.62,
0 %, 3 MiB, 24576 MiB,10.12 W,11.8,358.65,
0 %, 3 MiB, 24576 MiB,9.82 W,11.8,359.68,
0 %, 3 MiB, 24576 MiB,10.05 W,11.7,360.72,
0 %, 3 MiB, 24576 MiB,10.50 W,12.0,361.76,
0 %, 3 MiB, 24576 MiB,9.85 W,11.6,362.8,
0 %, 3 MiB, 24576 MiB,9.42 W,11.7,363.83,
0 %, 3 MiB, 24576 MiB,10.13 W,12.1,364.86,
0 %, 3 MiB, 24576 MiB,10.30 W,11.6,365.9,
0 %, 3 MiB, 24576 MiB,10.32 W,11.6,366.94,
0 %, 3 MiB, 24576 MiB,9.60 W,11.8,367.96,
0 %, 3 MiB, 24576 MiB,10.04 W,11.6,369.0,
0 %, 3 MiB, 24576 MiB,10.17 W,12.1,370.04,
0 %, 3 MiB, 24576 MiB,10.32 W,12.9,371.08,
0 %, 3 MiB, 24576 MiB,10.37 W,11.7,372.12,
0 %, 3 MiB, 24576 MiB,9.91 W,11.8,373.15,
0 %, 3 MiB, 24576 MiB,9.86 W,11.8,374.19,
0 %, 3 MiB, 24576 MiB,10.00 W,11.5,375.22,
0 %, 3 MiB, 24576 MiB,9.46 W,11.9,376.26,
0 %, 3 MiB, 24576 MiB,10.02 W,11.8,377.3,
0 %, 3 MiB, 24576 MiB,9.60 W,12.1,378.33,
0 %, 3 MiB, 24576 MiB,9.96 W,11.8,379.36,
0 %, 3 MiB, 24576 MiB,10.20 W,11.9,380.41,
0 %, 3 MiB, 24576 MiB,10.54 W,11.7,381.44,
0 %, 3 MiB, 24576 MiB,10.44 W,11.8,382.47,
0 %, 3 MiB, 24576 MiB,10.28 W,11.7,383.51,
0 %, 3 MiB, 24576 MiB,10.05 W,11.6,384.54,
0 %, 3 MiB, 24576 MiB,10.03 W,12.4,385.57,
0 %, 3 MiB, 24576 MiB,9.88 W,11.9,386.61,
0 %, 3 MiB, 24576 MiB,9.94 W,11.9,387.65,
0 %, 3 MiB, 24576 MiB,10.01 W,11.9,388.68,
0 %, 3 MiB, 24576 MiB,9.62 W,11.9,389.72,
0 %, 3 MiB, 24576 MiB,10.13 W,12.1,390.76,
0 %, 3 MiB, 24576 MiB,10.02 W,11.9,391.79,
0 %, 3 MiB, 24576 MiB,9.74 W,11.8,392.83,
0 %, 3 MiB, 24576 MiB,9.53 W,11.8,393.87,
0 %, 3 MiB, 24576 MiB,9.84 W,12.0,394.91,
0 %, 3 MiB, 24576 MiB,10.40 W,12.0,395.95,
0 %, 3 MiB, 24576 MiB,9.52 W,11.6,396.98,
0 %, 3 MiB, 24576 MiB,9.53 W,11.9,398.02,
0 %, 3 MiB, 24576 MiB,9.89 W,11.6,399.06,
0 %, 3 MiB, 24576 MiB,10.32 W,11.7,400.1,
0 %, 3 MiB, 24576 MiB,10.08 W,12.5,401.13,
0 %, 3 MiB, 24576 MiB,9.92 W,11.6,402.17,
0 %, 3 MiB, 24576 MiB,10.14 W,11.6,403.2,
0 %, 3 MiB, 24576 MiB,10.32 W,12.0,404.24,
0 %, 3 MiB, 24576 MiB,9.99 W,11.5,405.28,
0 %, 3 MiB, 24576 MiB,10.24 W,11.9,406.31,
0 %, 3 MiB, 24576 MiB,10.26 W,11.8,407.35,
0 %, 3 MiB, 24576 MiB,9.94 W,11.8,408.38,
0 %, 3 MiB, 24576 MiB,9.79 W,11.8,409.42,
0 %, 3 MiB, 24576 MiB,10.37 W,11.9,410.46,
0 %, 3 MiB, 24576 MiB,10.88 W,11.7,411.5,
0 %, 3 MiB, 24576 MiB,10.91 W,11.9,412.54,
0 %, 3 MiB, 24576 MiB,10.31 W,12.0,413.57,
0 %, 3 MiB, 24576 MiB,9.60 W,11.8,414.61,
0 %, 3 MiB, 24576 MiB,9.55 W,12.3,415.64,
0 %, 3 MiB, 24576 MiB,9.74 W,12.3,416.68,
0 %, 3 MiB, 24576 MiB,9.64 W,12.0,417.73,
0 %, 3 MiB, 24576 MiB,9.91 W,12.0,418.77,
0 %, 3 MiB, 24576 MiB,10.05 W,11.7,419.81,
0 %, 3 MiB, 24576 MiB,10.35 W,11.8,420.84,
0 %, 3 MiB, 24576 MiB,9.98 W,11.8,421.87,
0 %, 3 MiB, 24576 MiB,9.97 W,11.5,422.91,
